 id  |      trip_id      | route_id | direction_id | timestamp  | vehicle_id | vehicle_label | stop_id | arrival_delay | arrival_time | departure_delay | departure_time | scheduled_relationship
------+-------------------+----------+--------------+------------+------------+---------------+---------+---------------+--------------+-----------------+----------------+------------------------
 1431 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-62    |             0 |   1667309813 |               0 |     1667309813 | SCHEDULED
 1432 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-63    |             0 |   1667309854 |               0 |     1667309854 | SCHEDULED
 1434 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-66    |             0 |   1667309940 |               0 |     1667309940 | SCHEDULED
 1435 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-67    |             0 |   1667309986 |               0 |     1667309986 | SCHEDULED
 1439 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-70    |             0 |   1667310152 |               0 |     1667310152 | SCHEDULED
 1440 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-71    |             0 |   1667310176 |               0 |     1667310176 | SCHEDULED
 1441 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-73    |             0 |   1667310240 |               0 |     1667310240 | SCHEDULED
 1442 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-74    |             0 |   1667310277 |               0 |     1667310277 | SCHEDULED
 1443 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-75    |             0 |   1667310338 |               0 |     1667310338 | SCHEDULED
 1445 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-77    |             0 |   1667310480 |               0 |     1667310480 | SCHEDULED
 1446 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-1222  |             0 |   1667310538 |               0 |     1667310538 | SCHEDULED
 1447 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-78    |             0 |   1667310600 |               0 |     1667310600 | SCHEDULED
 1448 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-1442  |             0 |   1667310720 |               0 |     1667310720 | SCHEDULED
 1449 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-237   |             0 |   1667310900 |               0 |     1667310900 | SCHEDULED
 1452 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-746   |             0 |   1667311140 |               0 |     1667311140 | SCHEDULED
 1453 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-322   |             0 |   1667311194 |               0 |     1667311194 | SCHEDULED
 1454 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-323   |             0 |   1667311234 |               0 |     1667311234 | SCHEDULED
 1455 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-1099  |             0 |   1667311290 |               0 |     1667311290 | SCHEDULED
 1457 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-561   |             0 |   1667311372 |               0 |     1667311372 | SCHEDULED
 1458 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-562   |             0 |   1667311440 |               0 |     1667311440 | SCHEDULED
 1459 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-1368  |             0 |   1667311491 |               0 |     1667311491 | SCHEDULED
 1460 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-1369  |             0 |   1667311542 |               0 |     1667311542 | SCHEDULED
 1463 | 5-L5-8-B-143600   | 3-L5     |            1 | 1667309790 | 2446       | 2446          | 3-10025 |             0 |   1667311680 |               0 |     1667311680 | SCHEDULED
